
================ Hyper-parameters ================

TRAIN_PATH=./data/update_20190425/train
DEV_PATH=./data/update_20190425/dev
TEST_PATH=./data/update_20190425/test
TRAIN_FEATURES_PATH=./data/update_20190425/
DEV_FEATURES_PATH=./data/update_20190425/
TEST_FEATURES_PATH=./data/update_20190425/
MAX_SENTENCE_LENGTH=100
EMBEDDINGS=baidubaike
EMBEDDING_SIZE=300
POS_EMBEDDING_SIZE=50
EMB_DROPOUT_KEEP_PROB=0.7
HIDDEN_SIZE=300
RNN_DROPOUT_KEEP_PROB=0.7
NUM_HEADS=4
ATTENTION_SIZE=50
DESC=
DROPOUT_KEEP_PROB=0.7
L2_REG_LAMBDA=1e-05
BATCH_SIZE=520
TEST_BATCH_SIZE=256
NUM_EPOCHS=100
DISPLAY_EVERY=10
EVALUATE_EVERY=1000
NUM_CHECKPOINTS=5
LEARNING_RATE=1.0
DECAY_RATE=0.9
ALLOW_SOFT_PLACEMENT=False
LOG_DEVICE_PLACEMENT=False
GPU_ALLOW_GROWTH=True
CHECKPOINT_DIR=None

==================================================

2019-04-25T20:22:01.525983: step 10, loss 12.4503, acc 0.465385
2019-04-25T20:22:05.644338: step 20, loss 12.1366, acc 0.478846
2019-04-25T20:22:09.855724: step 30, loss 11.714, acc 0.578846
2019-04-25T20:22:14.186655: step 40, loss 11.6774, acc 0.586538
2019-04-25T20:22:18.810693: step 50, loss 11.5603, acc 0.617308
2019-04-25T20:22:23.191564: step 60, loss 11.28, acc 0.676923
2019-04-25T20:22:27.937862: step 70, loss 11.2997, acc 0.671154
2019-04-25T20:22:32.545739: step 80, loss 11.3045, acc 0.669231
2019-04-25T20:22:37.308705: step 90, loss 11.0629, acc 0.753846
2019-04-25T20:22:42.198413: step 100, loss 11.2247, acc 0.703846
2019-04-25T20:22:47.093043: step 110, loss 11.0155, acc 0.767308
2019-04-25T20:22:52.332451: step 120, loss 11.0997, acc 0.723077
2019-04-25T20:22:56.624141: step 130, loss 11.0101, acc 0.744231
2019-04-25T20:23:01.057556: step 140, loss 10.8922, acc 0.796154
2019-04-25T20:23:05.757227: step 150, loss 10.8525, acc 0.8
2019-04-25T20:23:10.212553: step 160, loss 10.7531, acc 0.832692
2019-04-25T20:23:14.746094: step 170, loss 10.7642, acc 0.848077
2019-04-25T20:23:18.890375: step 180, loss 10.7791, acc 0.821154
2019-04-25T20:23:23.283710: step 190, loss 10.7971, acc 0.798077
2019-04-25T20:23:27.628657: step 200, loss 10.7522, acc 0.840385
2019-04-25T20:23:31.998663: step 210, loss 10.7577, acc 0.830769
2019-04-25T20:23:36.514033: step 220, loss 10.7055, acc 0.838462
2019-04-25T20:23:41.062680: step 230, loss 10.6969, acc 0.865385
2019-04-25T20:23:45.559394: step 240, loss 10.6736, acc 0.842308
2019-04-25T20:23:50.104399: step 250, loss 10.6593, acc 0.842308
2019-04-25T20:23:54.747788: step 260, loss 10.6157, acc 0.867308
